uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,nlcdClass,plotID,subplotID,endDate,boutNumber,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"6b25c42f-6403-4465-82df-5e868b07e7fc","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","CAPY2","Carduus pycnocephalus L.","species","Asteraceae","I",,,,,,,2.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"55d0c7d3-e30b-4211-85ba-a4f5af57ef96","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"litter",12.00,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"e824e1ab-74f2-4848-ae3c-885455f259ec","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","SIGA","Silene gallica L.","species","Caryophyllaceae","I",,,,,,,1.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"28a67208-4ff3-45f1-a507-0bd6a53edc64","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","BRDI3","Bromus diandrus Roth","species","Poaceae","I",,,,,,,0.50,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"9656df7d-383e-4039-a174-eb4ded504b49","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","LOTUS","Lotus sp.","genus","Fabaceae","UNK",,,"Stegosauruspon_2019","2-4cm tall with yellow flowers",,,0.50,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"79d08100-62a2-497e-84e7-44efca5d7671","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"soil",7.00,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"c14b091d-d248-443d-824c-3059784c66b9","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"wood",1.00,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"be2ddd04-6b38-4351-a44a-0f8bf9262742","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.2.1","2019-04-10",1,"NEON.DOC.014042vG","otherVariables","Y","Y",,,,,,,,,,,"litter",12.00,,,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"b832148b-24a5-4745-b409-73f2f3b7b270","SJER_015.basePlot.div","D17","SJER",37.081978,-119.720355,"WGS84",20.10,315.0,0.1,"grasslandHerbaceous","SJER_015","31.1.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","ERBO","Erodium botrys (Cav.) Bertol.","species","Geraniaceae","I",,,,,,,8.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
"8a61eed5-7591-4619-b408-ce25024c6016","SJER_022.basePlot.div","D17","SJER",37.080176,-119.716934,"WGS84",20.10,325.7,0.1,"grasslandHerbaceous","SJER_022","32.4.1","2019-04-10",1,"NEON.DOC.014042vG","plantSpecies","Y","Y","POA","Poa sp.","genus","Poaceae","UNK",,"Bromus diandrus","Broadleafed pie grass_2019","Broad papery silky blades",,,55.00,"N",,,"0000-0002-2320-6648","0000-0002-9129-5419",,,
